Year,Month,Day,Block,Row,Column,Rep,Emergence
2019,5,8,1,2,D,1,25
2019,5,8,1,2,D,2,25
2019,5,8,2,3,A,1,15
2019,5,8,2,3,A,2,7
2019,5,8,2,3,B,1,4
2019,5,8,2,3,B,2,8
2019,5,8,2,3,C,1,24
2019,5,8,2,3,C,2,17
2019,5,8,2,3,D,1,2
2019,5,8,2,3,D,2,
2019,5,8,2,4,A,1,5
2019,5,8,2,4,A,2,6
2019,5,8,2,4,B,1,14
2019,5,8,2,4,B,2,18
2019,5,8,2,4,C,1,18
2019,5,8,2,4,C,2,8
2019,5,8,2,4,D,1,3
2019,5,8,2,4,D,2,
2019,5,8,3,1,A,1,7
2019,5,8,3,1,A,2,15
2019,5,8,3,1,B,1,11
2019,5,8,3,1,B,2,15
2019,5,8,3,1,C,1,4
2019,5,8,3,1,C,2,17
2019,5,8,3,1,D,1,19
2019,5,8,3,1,D,2,3
2019,5,8,3,2,A,1,
2019,5,8,3,2,A,2,
2019,5,8,3,2,B,1,6
2019,5,8,3,2,B,2,2
2019,5,8,3,2,C,1,
2019,5,8,3,2,C,2,
2019,5,8,3,2,D,1,5
2019,5,8,3,2,D,2,2
2019,5,8,4,3,A,1,4
2019,5,8,4,3,A,2,
2019,5,8,4,3,B,1,6
2019,5,8,4,3,B,2,18
2019,5,8,4,3,C,1,6
2019,5,8,4,3,C,2,2
2019,5,8,4,3,D,1,3
2019,5,8,4,3,D,2,5
2019,5,8,4,4,A,1,7
2019,5,8,4,4,A,2,10
2019,5,8,4,4,B,1,4
2019,5,8,4,4,B,2,2
2019,5,8,4,4,C,1,1
2019,5,8,4,4,C,2,
2019,5,8,4,4,D,1,8
2019,5,8,4,4,D,2,11
2019,5,10,1,1,A,1,24
2019,5,10,1,1,A,2,23
2019,5,10,1,1,B,1,26
2019,5,10,1,1,B,2,20
2019,5,10,1,1,C,1,8
2019,5,10,1,1,C,2,9
2019,5,10,1,1,D,1,9
2019,5,10,1,1,D,2,
2019,5,10,1,2,A,1,6
2019,5,10,1,2,A,2,
2019,5,10,1,2,B,1,4
2019,5,10,1,2,B,2,17
2019,5,10,1,2,C,1,3
2019,5,10,1,2,C,2,8
2019,5,10,1,2,D,1,33
2019,5,10,1,2,D,2,19
2019,5,10,2,3,A,1,15
2019,5,10,2,3,A,2,9
2019,5,10,2,3,B,1,19
2019,5,10,2,3,B,2,8
2019,5,10,2,3,C,1,22
2019,5,10,2,3,C,2,21
2019,5,10,2,3,D,1,4
2019,5,10,2,3,D,2,
2019,5,10,2,4,A,1,6
2019,5,10,2,4,A,2,8
2019,5,10,2,4,B,1,10
2019,5,10,2,4,B,2,20
2019,5,10,2,4,C,1,15
2019,5,10,2,4,C,2,35
2019,5,10,2,4,D,1,6
2019,5,10,2,4,D,2,
2019,5,10,3,1,A,1,8
2019,5,10,3,1,A,2,11
2019,5,10,3,1,B,1,14
2019,5,10,3,1,B,2,22
2019,5,10,3,1,C,1,7
2019,5,10,3,1,C,2,22
2019,5,10,3,1,D,1,17
2019,5,10,3,1,D,2,35
2019,5,10,3,2,A,1,
2019,5,10,3,2,A,2,
2019,5,10,3,2,B,1,7
2019,5,10,3,2,B,2,6
2019,5,10,3,2,C,1,
2019,5,10,3,2,C,2,
2019,5,10,3,2,D,1,8
2019,5,10,3,2,D,2,5
2019,5,10,4,3,A,1,4
2019,5,10,4,3,A,2,
2019,5,10,4,3,B,1,5
2019,5,10,4,3,B,2,18
2019,5,10,4,3,C,1,5
2019,5,10,4,3,C,2,6
2019,5,10,4,3,D,1,4
2019,5,10,4,3,D,2,7
2019,5,10,4,4,A,1,12
2019,5,10,4,4,A,2,6
2019,5,10,4,4,B,1,7
2019,5,10,4,4,B,2,8
2019,5,10,4,4,C,1,6
2019,5,10,4,4,C,2,
2019,5,10,4,4,D,1,18
2019,5,10,4,4,D,2,17
2019,5,13,1,1,A,1,30
2019,5,13,1,1,A,2,20
2019,5,13,1,1,B,1,23
2019,5,13,1,1,B,2,20
2019,5,13,1,1,C,1,8
2019,5,13,1,1,C,2,9
2019,5,13,1,1,D,1,10
2019,5,13,1,1,D,2,
2019,5,13,1,2,A,1,8
2019,5,13,1,2,A,2,
2019,5,13,1,2,B,1,7
2019,5,13,1,2,B,2,21
2019,5,13,1,2,C,1,3
2019,5,13,1,2,C,2,5
2019,5,13,1,2,D,1,29
2019,5,13,1,2,D,2,17
2019,5,13,2,3,A,1,13
2019,5,13,2,3,A,2,10
2019,5,13,2,3,B,1,16
2019,5,13,2,3,B,2,12
2019,5,13,2,3,C,1,27
2019,5,13,2,3,C,2,16
2019,5,13,2,3,D,1,4
2019,5,13,2,3,D,2,
2019,5,13,2,4,A,1,6
2019,5,13,2,4,A,2,7
2019,5,13,2,4,B,1,15
2019,5,13,2,4,B,2,17
2019,5,13,2,4,C,1,15
2019,5,13,2,4,C,2,37
2019,5,13,2,4,D,1,9
2019,5,13,2,4,D,2,
2019,5,13,3,1,A,1,7
2019,5,13,3,1,A,2,11
2019,5,13,3,1,B,1,16
2019,5,13,3,1,B,2,20
2019,5,13,3,1,C,1,5
2019,5,13,3,1,C,2,21
2019,5,13,3,1,D,1,17
2019,5,13,3,1,D,2,35
2019,5,13,3,2,A,1,
2019,5,13,3,2,A,2,
2019,5,13,3,2,B,1,7
2019,5,13,3,2,B,2,5
2019,5,13,3,2,C,1,
2019,5,13,3,2,C,2,
2019,5,13,3,2,D,1,7
2019,5,13,3,2,D,2,5
2019,5,13,4,3,A,1,7
2019,5,13,4,3,A,2,
2019,5,13,4,3,B,1,7
2019,5,13,4,3,B,2,17
2019,5,13,4,3,C,1,6
2019,5,13,4,3,C,2,7
2019,5,13,4,3,D,1,4
2019,5,13,4,3,D,2,7
2019,5,13,4,4,A,1,13
2019,5,13,4,4,A,2,11
2019,5,13,4,4,B,1,8
2019,5,13,4,4,B,2,8
2019,5,13,4,4,C,1,8
2019,5,13,4,4,C,2,
2019,5,13,4,4,D,1,18
2019,5,13,4,4,D,2,16
2019,5,15,1,1,A,1,25
2019,5,15,1,1,A,2,19
2019,5,15,1,1,B,1,26
2019,5,15,1,1,B,2,21
2019,5,15,1,1,C,1,9
2019,5,15,1,1,C,2,11
2019,5,15,1,1,D,1,10
2019,5,15,1,1,D,2,
2019,5,15,1,2,A,1,5
2019,5,15,1,2,A,2,
2019,5,15,1,2,B,1,6
2019,5,15,1,2,B,2,15
2019,5,15,1,2,C,1,2
2019,5,15,1,2,C,2,5
2019,5,15,1,2,D,1,34
2019,5,15,1,2,D,2,20
2019,5,15,2,3,A,1,13
2019,5,15,2,3,A,2,8
2019,5,15,2,3,B,1,14
2019,5,15,2,3,B,2,13
2019,5,15,2,3,C,1,22
2019,5,15,2,3,C,2,14
2019,5,15,2,3,D,1,5
2019,5,15,2,3,D,2,
2019,5,15,2,4,A,1,6
2019,5,15,2,4,A,2,6
2019,5,15,2,4,B,1,15
2019,5,15,2,4,B,2,17
2019,5,15,2,4,C,1,13
2019,5,15,2,4,C,2,34
2019,5,15,2,4,D,1,9
2019,5,15,2,4,D,2,
2019,5,15,3,1,A,1,7
2019,5,15,3,1,A,2,10
2019,5,15,3,1,B,1,13
2019,5,15,3,1,B,2,17
2019,5,15,3,1,C,1,6
2019,5,15,3,1,C,2,20
2019,5,15,3,1,D,1,14
2019,5,15,3,1,D,2,30
2019,5,15,3,2,A,1,
2019,5,15,3,2,A,2,
2019,5,15,3,2,B,1,7
2019,5,15,3,2,B,2,7
2019,5,15,3,2,C,1,
2019,5,15,3,2,C,2,
2019,5,15,3,2,D,1,7
2019,5,15,3,2,D,2,7
2019,5,15,4,3,A,1,7
2019,5,15,4,3,A,2,
2019,5,15,4,3,B,1,5
2019,5,15,4,3,B,2,18
2019,5,15,4,3,C,1,4
2019,5,15,4,3,C,2,5
2019,5,15,4,3,D,1,5
2019,5,15,4,3,D,2,6
2019,5,15,4,4,A,1,12
2019,5,15,4,4,A,2,13
2019,5,15,4,4,B,1,9
2019,5,15,4,4,B,2,8
2019,5,15,4,4,C,1,8
2019,5,15,4,4,C,2,
2019,5,15,4,4,D,1,16
2019,5,15,4,4,D,2,17
