SampleNmbr,BlockID,PlantingDate,SamplingDate,Year,Month ,Day,CropTrt,Row,Height_cm,,,
61,10,9/26/2019,11/14/2019,2019,11,14,SS,2,141,,,
62,10,9/26/2019,11/14/2019,2019,11,14,SS,2,133,,,
63,10,9/26/2019,11/14/2019,2019,11,14,SS,2,134,,,
64,10,9/26/2019,11/14/2019,2019,11,14,SS,3,132,,,
65,10,9/26/2019,11/14/2019,2019,11,14,SS,3,150,,,
66,10,9/26/2019,11/14/2019,2019,11,14,SS,3,119,,,
67,10,9/26/2019,11/14/2019,2019,11,14,SS,3,175,,,
68,10,9/26/2019,11/14/2019,2019,11,14,SS,3,146,,,
69,10,9/26/2019,11/14/2019,2019,11,14,SS,3,194,,,
70,10,9/26/2019,11/14/2019,2019,11,14,SS,3,165,,,
71,10,9/26/2019,11/14/2019,2019,11,14,SS,3,180,,,
72,10,9/26/2019,11/14/2019,2019,11,14,SS,3,197,,,
73,10,9/26/2019,11/14/2019,2019,11,14,SS,3,153,,,
74,10,9/26/2019,11/14/2019,2019,11,14,SS,3,146,,,
75,10,9/26/2019,11/14/2019,2019,11,14,SS,3,177,,,
76,10,9/26/2019,11/14/2019,2019,11,14,SS,3,130,,,
77,10,9/26/2019,11/14/2019,2019,11,14,SS,3,135,,,
78,10,9/26/2019,11/14/2019,2019,11,14,SS,3,137,,,
79,10,9/26/2019,11/14/2019,2019,11,14,SS,3,80,,,
80,10,9/26/2019,11/14/2019,2019,11,14,SS,3,60,,,
81,10,9/26/2019,11/14/2019,2019,11,14,SS,3,110,,,
82,10,9/26/2019,11/14/2019,2019,11,14,SS,3,102,,,
83,10,9/26/2019,11/14/2019,2019,11,14,SS,3,91,,,
84,10,9/26/2019,11/14/2019,2019,11,14,SS,3,85,,,
85,10,9/26/2019,11/14/2019,2019,11,14,SS,3,95,,,
86,10,9/26/2019,11/14/2019,2019,11,14,SS,3,125,,,
87,10,9/26/2019,11/14/2019,2019,11,14,SS,3,120,,,
88,10,9/26/2019,11/14/2019,2019,11,14,SS,3,75,,,
89,10,9/26/2019,11/14/2019,2019,11,14,SS,3,70,,,
90,10,9/26/2019,11/14/2019,2019,11,14,SS,3,81,,,
91,10,9/26/2019,11/14/2019,2019,11,14,SS,4,105,,,
92,10,9/26/2019,11/14/2019,2019,11,14,SS,4,98,,,
93,10,9/26/2019,11/14/2019,2019,11,14,SS,4,139,,,
94,10,9/26/2019,11/14/2019,2019,11,14,SS,4,185,,,
95,10,9/26/2019,11/14/2019,2019,11,14,SS,4,155,,,
96,10,9/26/2019,11/14/2019,2019,11,14,SS,4,162,,,
97,10,9/26/2019,11/14/2019,2019,11,14,SS,4,160,,,
98,10,9/26/2019,11/14/2019,2019,11,14,SS,4,148,,,
99,10,9/26/2019,11/14/2019,2019,11,14,SS,4,120,,,
100,10,9/26/2019,11/14/2019,2019,11,14,SS,4,102,,,
101,10,9/26/2019,11/14/2019,2019,11,14,SS,4,110,,,
102,10,9/26/2019,11/14/2019,2019,11,14,SS,4,90,,,
103,10,9/26/2019,11/14/2019,2019,11,14,SS,4,40,,,
104,10,9/26/2019,11/14/2019,2019,11,14,SS,4,59,,,
105,10,9/26/2019,11/14/2019,2019,11,14,SS,4,65,,,
106,10,9/26/2019,11/14/2019,2019,11,14,SS,4,130,,,
107,10,9/26/2019,11/14/2019,2019,11,14,SS,4,75,,,
108,10,9/26/2019,11/14/2019,2019,11,14,SS,4,82,,,
109,10,9/26/2019,11/14/2019,2019,11,14,SS,4,128,,,
110,10,9/26/2019,11/14/2019,2019,11,14,SS,4,172,,,
111,10,9/26/2019,11/14/2019,2019,11,14,SS,4,147,,,
112,10,9/26/2019,11/14/2019,2019,11,14,SS,4,167,,,
113,10,9/26/2019,11/14/2019,2019,11,14,SS,4,110,,,
114,10,9/26/2019,11/14/2019,2019,11,14,SS,4,100,,,
115,10,9/26/2019,11/14/2019,2019,11,14,SS,4,71,,,
116,10,9/26/2019,11/14/2019,2019,11,14,SS,4,85,,,
117,10,9/26/2019,11/14/2019,2019,11,14,SS,4,50,,,
118,10,9/26/2019,11/14/2019,2019,11,14,SS,5,73,,,
119,10,9/26/2019,11/14/2019,2019,11,14,SS,5,52,,,
120,10,9/26/2019,11/14/2019,2019,11,14,SS,5,58,,,
121,10,9/26/2019,11/14/2019,2019,11,14,SS,5,39,,,
122,10,9/26/2019,11/14/2019,2019,11,14,SS,5,48,,,
123,10,9/26/2019,11/14/2019,2019,11,14,SS,5,50,,,
124,10,9/26/2019,11/14/2019,2019,11,14,SS,5,70,,,
125,10,9/26/2019,11/14/2019,2019,11,14,SS,5,64,,,
126,10,9/26/2019,11/14/2019,2019,11,14,SS,5,53,,,
127,10,9/26/2019,11/14/2019,2019,11,14,SS,5,100,,,
128,10,9/26/2019,11/14/2019,2019,11,14,SS,5,91,,,
129,10,9/26/2019,11/14/2019,2019,11,14,SS,5,74,,,
130,10,9/26/2019,11/14/2019,2019,11,14,SS,5,46,,,
131,10,9/26/2019,11/14/2019,2019,11,14,SS,5,39,,,
132,10,9/26/2019,11/14/2019,2019,11,14,SS,5,37,,,
133,10,9/26/2019,11/14/2019,2019,11,14,SS,5,52,,,
134,10,9/26/2019,11/14/2019,2019,11,14,SS,5,50,,,
135,10,9/26/2019,11/14/2019,2019,11,14,SS,5,37,,,
136,10,9/26/2019,11/14/2019,2019,11,14,SS,5,40,,,
137,10,9/26/2019,11/14/2019,2019,11,14,SS,5,45,,,
138,10,9/26/2019,11/14/2019,2019,11,14,SS,5,32,,,
139,10,9/26/2019,11/14/2019,2019,11,14,SS,5,60,,,
140,10,9/26/2019,11/14/2019,2019,11,14,SS,5,45,,,
141,10,9/26/2019,11/14/2019,2019,11,14,SS,5,47,,,
142,10,9/26/2019,11/14/2019,2019,11,14,SS,5,120,,,
143,10,9/26/2019,11/14/2019,2019,11,14,SS,5,115,,,
144,10,9/26/2019,11/14/2019,2019,11,14,SS,5,74,,,
145,10,9/26/2019,11/14/2019,2019,11,14,SS,5,33,,,
146,10,9/26/2019,11/14/2019,2019,11,14,SS,5,51,,,
147,10,9/26/2019,11/14/2019,2019,11,14,SS,5,30,,,
