Year,Month,Day,Block,Row,Colum,Rep,Emergence
2019,May,29,5,1,D,1,0
2019,May,29,5,1,D,2,1
2019,May,29,5,2,A,1,14
2019,May,29,5,2,A,2,17
2019,May,29,5,2,B,1,26
2019,May,29,5,2,B,2,26
2019,May,29,5,2,C,1,0
2019,May,29,5,2,C,2,2
2019,May,29,5,2,D,1,0
2019,May,29,5,2,D,2,1
2019,May,29,5,3,A,1,3
2019,May,29,5,3,A,2,0
2019,May,29,5,3,B,1,3
2019,May,29,5,3,B,2,0
2019,May,29,5,3,C,1,0
2019,May,29,5,3,C,2,2
2019,May,29,5,3,D,1,0
2019,May,29,5,3,D,2,0
2019,May,29,5,4,A,1,16
2019,May,29,5,4,A,2,4
2019,May,29,5,4,B,1,1
2019,May,29,5,4,B,2,0
2019,May,29,5,4,C,1,0
2019,May,29,5,4,C,2,0
2019,May,29,5,4,D,1,0
2019,May,29,5,4,D,2,0
2019,May,29,5,5,A,1,1
2019,May,29,5,5,A,2,10
2019,May,29,5,5,B,1,5
2019,May,29,5,5,B,2,7
2019,May,29,5,5,C,1,0
2019,May,29,5,5,C,2,0
2019,May,29,5,5,D,1,0
2019,May,29,5,5,D,2,2
2019,May,29,6,1,A,1,3
2019,May,29,6,1,A,2,0
2019,May,29,6,1,B,1,2
2019,May,29,6,1,B,2,3
2019,May,29,6,1,C,1,1
2019,May,29,6,1,C,2,0
2019,May,29,6,1,D,1,2
2019,May,29,6,1,D,2,3
2019,May,29,6,2,A,1,2
2019,May,29,6,2,A,2,0
2019,May,29,6,2,B,1,0
2019,May,29,6,2,B,2,0
2019,May,29,6,2,C,1,0
2019,May,29,6,2,C,2,0
2019,May,29,6,2,D,1,0
2019,May,29,6,2,D,2,0
2019,May,29,6,3,A,1,3
2019,May,29,6,3,A,2,1
2019,May,29,6,3,B,1,1
2019,May,29,6,3,B,2,1
2019,May,29,6,3,C,1,0
2019,May,29,6,3,C,2,0
2019,May,29,6,3,D,1,1
2019,May,29,6,3,D,2,0
2019,May,29,6,4,A,1,4
2019,May,29,6,4,A,2,3
2019,May,29,6,4,B,1,4
2019,May,29,6,4,B,2,19
2019,May,29,6,4,C,1,3
2019,May,29,6,4,C,2,6
2019,May,29,6,4,D,1,9
2019,May,29,6,4,D,2,16
2019,May,29,6,5,A,1,11
2019,May,29,6,5,A,2,10
2019,May,29,6,5,B,1,8
2019,May,29,6,5,B,2,4
2019,May,29,6,5,C,1,8
2019,May,29,6,5,C,2,0
2019,May,29,6,5,D,1,
2019,May,29,6,5,D,2,
2019,May,29,7,1,A,1,4
2019,May,29,7,1,A,2,0
2019,May,29,7,1,B,1,5
2019,May,29,7,1,B,2,8
2019,May,29,7,1,C,1,10
2019,May,29,7,1,C,2,2
2019,May,29,7,1,D,1,1
2019,May,29,7,1,D,2,2
2019,May,29,7,2,A,1,5
2019,May,29,7,2,A,2,6
2019,May,29,7,2,B,1,9
2019,May,29,7,2,B,2,12
2019,May,29,7,2,C,1,7
2019,May,29,7,2,C,2,0
2019,May,29,7,2,D,1,13
2019,May,29,7,2,D,2,5
2019,May,29,7,3,A,1,2
2019,May,29,7,3,A,2,7
2019,May,29,7,3,B,1,0
2019,May,29,7,3,B,2,19
2019,May,29,7,3,C,1,0
2019,May,29,7,3,C,2,0
2019,May,29,7,3,D,1,0
2019,May,29,7,3,D,2,0
2019,May,29,7,4,A,1,1
2019,May,29,7,4,A,2,0
2019,May,29,7,4,B,1,6
2019,May,29,7,4,B,2,3
2019,May,29,7,4,C,1,0
2019,May,29,7,4,C,2,0
2019,May,29,7,4,D,1,0
2019,May,29,7,4,D,2,0
2019,May,29,7,5,A,1,3
2019,May,29,7,5,A,2,7
2019,May,29,7,5,B,1,3
2019,May,29,7,5,B,2,3
2019,May,29,7,5,C,1,6
2019,May,29,7,5,C,2,4
2019,May,29,7,5,D,1,
2019,May,29,7,5,D,2,
2019,May,29,8,1,A,1,2
2019,May,29,8,1,A,2,2
2019,May,29,8,1,B,1,0
2019,May,29,8,1,B,2,0
2019,May,29,8,1,C,1,1
2019,May,29,8,1,C,2,0
2019,May,29,8,1,D,1,5
2019,May,29,8,1,D,2,4
2019,May,29,8,2,A,1,0
2019,May,29,8,2,A,2,0
2019,May,29,8,2,B,1,0
2019,May,29,8,2,B,2,0
2019,May,29,8,2,C,1,0
2019,May,29,8,2,C,2,0
2019,May,29,8,2,D,1,1
2019,May,29,8,2,D,2,0
2019,May,29,8,3,A,1,8
2019,May,29,8,3,A,2,4
2019,May,29,8,3,B,1,0
2019,May,29,8,3,B,2,0
2019,May,29,8,3,C,1,0
2019,May,29,8,3,C,2,0
2019,May,29,8,3,D,1,8
2019,May,29,8,3,D,2,6
2019,May,29,8,4,A,1,8
2019,May,29,8,4,A,2,7
2019,May,29,8,4,B,1,9
2019,May,29,8,4,B,2,11
2019,May,29,8,4,C,1,0
2019,May,29,8,4,C,2,0
2019,May,29,8,4,D,1,7
2019,May,29,8,4,D,2,2
2019,May,29,8,5,A,1,11
2019,May,29,8,5,A,2,15
2019,May,29,8,5,B,1,12
2019,May,29,8,5,B,2,9
2019,May,29,8,5,C,1,3
2019,May,29,8,5,C,2,1
2019,May,29,8,5,D,1,
2019,May,29,8,5,D,2,
2019,May,29,9,1,A,1,22
2019,May,29,9,1,A,2,3
2019,May,29,9,1,B,1,20
2019,May,29,9,1,B,2,19
2019,May,29,9,1,C,1,5
2019,May,29,9,1,C,2,4
2019,May,29,9,1,D,1,6
2019,May,29,9,1,D,2,2
2019,May,29,9,2,A,1,15
2019,May,29,9,2,A,2,20
2019,May,29,9,2,B,1,37
2019,May,29,9,2,B,2,58
2019,May,29,9,2,C,1,18
2019,May,29,9,2,C,2,20
2019,May,29,9,2,D,1,6
2019,May,29,9,2,D,2,6
2019,May,29,9,3,A,1,14
2019,May,29,9,3,A,2,9
2019,May,29,9,3,B,1,5
2019,May,29,9,3,B,2,2
2019,May,29,9,3,C,1,2
2019,May,29,9,3,C,2,12
2019,May,29,9,3,D,1,2
2019,May,29,9,3,D,2,10
2019,May,29,9,4,A,1,24
2019,May,29,9,4,A,2,33
2019,May,29,9,4,B,1,17
2019,May,29,9,4,B,2,13
2019,May,29,9,4,C,1,7
2019,May,29,9,4,C,2,2
2019,May,29,9,4,D,1,3
2019,May,29,9,4,D,2,3
2019,May,31,5,1,A,1,18
2019,May,31,5,1,A,2,10
2019,May,31,5,1,B,1,12
2019,May,31,5,1,B,2,10
2019,May,31,5,1,C,1,4
2019,May,31,5,1,C,2,5
2019,May,31,5,1,D,1,0
2019,May,31,5,1,D,2,1
2019,May,31,5,2,A,1,20
2019,May,31,5,2,A,2,19
2019,May,31,5,2,B,1,12
2019,May,31,5,2,B,2,22
2019,May,31,5,2,C,1,4
2019,May,31,5,2,C,2,2
2019,May,31,5,2,D,1,1
2019,May,31,5,2,D,2,0
2019,May,31,5,3,A,1,3
2019,May,31,5,3,A,2,4
2019,May,31,5,3,B,1,2
2019,May,31,5,3,B,2,0
2019,May,31,5,3,C,1,0
2019,May,31,5,3,C,2,2
2019,May,31,5,3,D,1,3
2019,May,31,5,3,D,2,6
2019,May,31,5,4,A,1,6
2019,May,31,5,4,A,2,3
2019,May,31,5,4,B,1,2
2019,May,31,5,4,B,2,0
2019,May,31,5,4,C,1,0
2019,May,31,5,4,C,2,0
2019,May,31,5,4,D,1,0
2019,May,31,5,4,D,2,0
2019,May,31,5,5,A,1,4
2019,May,31,5,5,A,2,11
2019,May,31,5,5,B,1,5
2019,May,31,5,5,B,2,5
2019,May,31,5,5,C,1,0
2019,May,31,5,5,C,2,0
2019,May,31,5,5,D,1,2
2019,May,31,5,5,D,2,0
2019,May,31,6,1,A,1,1
2019,May,31,6,1,A,2,1
2019,May,31,6,1,B,1,1
2019,May,31,6,1,B,2,2
2019,May,31,6,1,C,1,1
2019,May,31,6,1,C,2,0
2019,May,31,6,1,D,1,2
2019,May,31,6,1,D,2,3
2019,May,31,6,2,A,1,3
2019,May,31,6,2,A,2,0
2019,May,31,6,2,B,1,0
2019,May,31,6,2,B,2,0
2019,May,31,6,2,C,1,0
2019,May,31,6,2,C,2,0
2019,May,31,6,2,D,1,0
2019,May,31,6,2,D,2,0
2019,May,31,6,3,A,1,3
2019,May,31,6,3,A,2,1
2019,May,31,6,3,B,1,1
2019,May,31,6,3,B,2,4
2019,May,31,6,3,C,1,0
2019,May,31,6,3,C,2,0
2019,May,31,6,3,D,1,2
2019,May,31,6,3,D,2,5
2019,May,31,6,4,A,1,5
2019,May,31,6,4,A,2,4
2019,May,31,6,4,B,1,20
2019,May,31,6,4,B,2,6
2019,May,31,6,4,C,1,6
2019,May,31,6,4,C,2,3
2019,May,31,6,4,D,1,18
2019,May,31,6,4,D,2,13
2019,May,31,6,5,A,1,16
2019,May,31,6,5,A,2,8
2019,May,31,6,5,B,1,8
2019,May,31,6,5,B,2,4
2019,May,31,6,5,C,1,0
2019,May,31,6,5,C,2,2
2019,May,31,6,5,D,1,
2019,May,31,6,5,D,2,
2019,May,31,7,1,A,1,3
2019,May,31,7,1,A,2,6
2019,May,31,7,1,B,1,2
2019,May,31,7,1,B,2,4
2019,May,31,7,1,C,1,8
2019,May,31,7,1,C,2,1
2019,May,31,7,1,D,1,2
2019,May,31,7,1,D,2,3
2019,May,31,7,2,A,1,7
2019,May,31,7,2,A,2,11
2019,May,31,7,2,B,1,9
2019,May,31,7,2,B,2,14
2019,May,31,7,2,C,1,3
2019,May,31,7,2,C,2,4
2019,May,31,7,2,D,1,15
2019,May,31,7,2,D,2,5
2019,May,31,7,3,A,1,3
2019,May,31,7,3,A,2,9
2019,May,31,7,3,B,1,0
2019,May,31,7,3,B,2,21
2019,May,31,7,3,C,1,0
2019,May,31,7,3,C,2,0
2019,May,31,7,3,D,1,1
2019,May,31,7,3,D,2,0
2019,May,31,7,4,A,1,2
2019,May,31,7,4,A,2,2
2019,May,31,7,4,B,1,8
2019,May,31,7,4,B,2,2
2019,May,31,7,4,C,1,0
2019,May,31,7,4,C,2,0
2019,May,31,7,4,D,1,0
2019,May,31,7,4,D,2,0
2019,May,31,7,5,A,1,5
2019,May,31,7,5,A,2,6
2019,May,31,7,5,B,1,3
2019,May,31,7,5,B,2,3
2019,May,31,7,5,C,1,5
2019,May,31,7,5,C,2,5
2019,May,31,7,5,D,1,
2019,May,31,7,5,D,2,
2019,May,31,8,1,A,1,2
2019,May,31,8,1,A,2,4
2019,May,31,8,1,B,1,0
2019,May,31,8,1,B,2,0
2019,May,31,8,1,C,1,1
2019,May,31,8,1,C,2,0
2019,May,31,8,1,D,1,9
2019,May,31,8,1,D,2,3
2019,May,31,8,2,A,1,0
2019,May,31,8,2,A,2,0
2019,May,31,8,2,B,1,0
2019,May,31,8,2,B,2,0
2019,May,31,8,2,C,1,0
2019,May,31,8,2,C,2,0
2019,May,31,8,2,D,1,2
2019,May,31,8,2,D,2,3
2019,May,31,8,3,A,1,12
2019,May,31,8,3,A,2,4
2019,May,31,8,3,B,1,0
2019,May,31,8,3,B,2,0
2019,May,31,8,3,C,1,0
2019,May,31,8,3,C,2,0
2019,May,31,8,3,D,1,10
2019,May,31,8,3,D,2,5
2019,May,31,8,4,A,1,0
2019,May,31,8,4,A,2,12
2019,May,31,8,4,B,1,12
2019,May,31,8,4,B,2,12
2019,May,31,8,4,C,1,0
2019,May,31,8,4,C,2,0
2019,May,31,8,4,D,1,4
2019,May,31,8,4,D,2,5
2019,May,31,8,5,A,1,17
2019,May,31,8,5,A,2,10
2019,May,31,8,5,B,1,6
2019,May,31,8,5,B,2,9
2019,May,31,8,5,C,1,3
2019,May,31,8,5,C,2,1
2019,May,31,8,5,D,1,
2019,May,31,8,5,D,2,
2019,May,31,9,1,A,1,24
2019,May,31,9,1,A,2,4
2019,May,31,9,1,B,1,20
2019,May,31,9,1,B,2,21
2019,May,31,9,1,C,1,6
2019,May,31,9,1,C,2,2
2019,May,31,9,1,D,1,4
2019,May,31,9,1,D,2,3
2019,May,31,9,2,A,1,19
2019,May,31,9,2,A,2,19
2019,May,31,9,2,B,1,34
2019,May,31,9,2,B,2,63
2019,May,31,9,2,C,1,30
2019,May,31,9,2,C,2,19
2019,May,31,9,2,D,1,7
2019,May,31,9,2,D,2,10
2019,May,31,9,3,A,1,11
2019,May,31,9,3,A,2,15
2019,May,31,9,3,B,1,1
2019,May,31,9,3,B,2,12
2019,May,31,9,3,C,1,18
2019,May,31,9,3,C,2,28
2019,May,31,9,3,D,1,15
2019,May,31,9,3,D,2,9
2019,May,31,9,4,A,1,24
2019,May,31,9,4,A,2,47
2019,May,31,9,4,B,1,15
2019,May,31,9,4,B,2,9
2019,May,31,9,4,C,1,8
2019,May,31,9,4,C,2,4
2019,May,31,9,4,D,1,5
2019,May,31,9,4,D,2,13
