Block,Plot_Num,Date,Day,Month,Year,Stand_count,Sex
7,10,8/31/2020,31,8,2020,0,
7,11,8/31/2020,31,8,2020,1,M
7,11,8/31/2020,31,8,2020,6,F
7,12,8/31/2020,31,8,2020,0,
8,1,8/31/2020,31,8,2020,3,F
8,2,8/31/2020,31,8,2020,0,
8,3,8/31/2020,31,8,2020,5,F
8,4,8/31/2020,31,8,2020,0,
8,5,8/31/2020,31,8,2020,0,
8,6,8/31/2020,31,8,2020,3,M
8,6,8/31/2020,31,8,2020,5,F
8,7,8/31/2020,31,8,2020,0,
8,8,8/31/2020,31,8,2020,1,M
8,8,8/31/2020,31,8,2020,2,F
8,9,8/31/2020,31,8,2020,0,
8,10,8/31/2020,31,8,2020,0,
8,11,8/31/2020,31,8,2020,0,
8,12,8/31/2020,31,8,2020,0,
1,1,10/1/2020,1,10,2020,0,
1,2,10/1/2020,1,10,2020,0,
1,3,10/1/2020,1,10,2020,0,
1,4,10/1/2020,1,10,2020,0,
1,5,10/1/2020,1,10,2020,0,
1,6,10/1/2020,1,10,2020,0,
1,7,10/1/2020,1,10,2020,0,
1,8,10/1/2020,1,10,2020,0,
1,9,10/1/2020,1,10,2020,0,
1,10,10/1/2020,1,10,2020,0,
1,11,10/1/2020,1,10,2020,0,
1,12,10/1/2020,1,10,2020,0,
2,1,10/1/2020,1,10,2020,0,
2,2,10/1/2020,1,10,2020,0,
2,3,10/1/2020,1,10,2020,0,
2,4,10/1/2020,1,10,2020,0,
2,5,10/1/2020,1,10,2020,0,
2,6,10/1/2020,1,10,2020,0,
2,7,10/1/2020,1,10,2020,0,
2,8,10/1/2020,1,10,2020,0,
2,9,10/1/2020,1,10,2020,0,
2,10,10/1/2020,1,10,2020,0,
2,11,10/1/2020,1,10,2020,0,
2,12,10/1/2020,1,10,2020,0,
3,1,10/1/2020,1,10,2020,0,
3,2,10/1/2020,1,10,2020,0,
3,3,10/1/2020,1,10,2020,0,
3,4,10/1/2020,1,10,2020,0,
3,5,10/1/2020,1,10,2020,0,
3,6,10/1/2020,1,10,2020,0,
3,7,10/1/2020,1,10,2020,0,
3,8,10/1/2020,1,10,2020,0,
3,9,10/1/2020,1,10,2020,0,
3,10,10/1/2020,1,10,2020,0,
3,11,10/1/2020,1,10,2020,4,F
3,12,10/1/2020,1,10,2020,0,
4,1,10/1/2020,1,10,2020,0,
4,2,10/1/2020,1,10,2020,0,
4,3,10/1/2020,1,10,2020,0,
4,4,10/1/2020,1,10,2020,0,
4,5,10/1/2020,1,10,2020,0,
4,6,10/1/2020,1,10,2020,0,
4,7,10/1/2020,1,10,2020,0,
4,8,10/1/2020,1,10,2020,0,
4,9,10/1/2020,1,10,2020,0,
4,10,10/1/2020,1,10,2020,0,
4,11,10/1/2020,1,10,2020,0,
4,12,10/1/2020,1,10,2020,0,
5,1,10/1/2020,1,10,2020,0,
5,2,10/1/2020,1,10,2020,0,
5,3,10/1/2020,1,10,2020,0,
5,4,10/1/2020,1,10,2020,0,
5,5,10/1/2020,1,10,2020,0,
5,6,10/1/2020,1,10,2020,0,
5,7,10/1/2020,1,10,2020,0,
5,8,10/1/2020,1,10,2020,0,
5,9,10/1/2020,1,10,2020,0,
5,10,10/1/2020,1,10,2020,0,
5,11,10/1/2020,1,10,2020,0,
5,12,10/1/2020,1,10,2020,0,
6,1,10/1/2020,1,10,2020,0,
6,2,10/1/2020,1,10,2020,0,
6,3,10/1/2020,1,10,2020,0,
6,4,10/1/2020,1,10,2020,0,
6,5,10/1/2020,1,10,2020,0,
6,6,10/1/2020,1,10,2020,0,
6,7,10/1/2020,1,10,2020,0,
6,8,10/1/2020,1,10,2020,0,
6,9,10/1/2020,1,10,2020,0,
6,10,10/1/2020,1,10,2020,0,
6,11,10/1/2020,1,10,2020,0,
6,12,10/1/2020,1,10,2020,0,
7,1,10/1/2020,1,10,2020,0,
7,2,10/1/2020,1,10,2020,0,
7,3,10/1/2020,1,10,2020,0,
7,4,10/1/2020,1,10,2020,0,
7,5,10/1/2020,1,10,2020,0,
7,6,10/1/2020,1,10,2020,0,
7,7,10/1/2020,1,10,2020,0,
7,8,10/1/2020,1,10,2020,0,
7,9,10/1/2020,1,10,2020,0,
7,10,10/1/2020,1,10,2020,0,
7,11,10/1/2020,1,10,2020,0,
7,12,10/1/2020,1,10,2020,0,
8,1,10/1/2020,1,10,2020,0,
8,2,10/1/2020,1,10,2020,0,
8,3,10/1/2020,1,10,2020,2,F
8,4,10/1/2020,1,10,2020,0,
8,5,10/1/2020,1,10,2020,0,
8,6,10/1/2020,1,10,2020,4,F
8,7,10/1/2020,1,10,2020,0,
8,8,10/1/2020,1,10,2020,0,
8,9,10/1/2020,1,10,2020,0,
8,10,10/1/2020,1,10,2020,0,
8,11,10/1/2020,1,10,2020,0,
8,12,10/1/2020,1,10,2020,0,
