Experiment,Variety,Column,Row,Block
VarietyTrial,Yuma-2,A,4,6
VarietyTrial,Carmagnola,B,4,6
VarietyTrial,HanFN-H,C,4,6
VarietyTrial,Yuma,D,4,6
VarietyTrial,CRS-1,A,5,6
VarietyTrial,CFX-1,B,5,6
VarietyTrial,CarmagnolaSelezionata,C,5,6
VarietyTrial,Yuma,A,1,7
VarietyTrial,Helena,B,1,7
VarietyTrial,HanNE,C,1,7
VarietyTrial,Carmagnola,D,1,7
VarietyTrial,HanNW,A,2,7
VarietyTrial,HanFN-H,B,2,7
VarietyTrial,HanFNQ,C,2,7
VarietyTrial,CRS-1,D,2,7
VarietyTrial,CFX-1,A,3,7
VarietyTrial,CarmagnolaSelezionata,B,3,7
VarietyTrial,CherryBlossomxTI,C,3,7
VarietyTrial,Bama,D,3,7
VarietyTrial,BerryBlossom,A,4,7
VarietyTrial,Joey,B,4,7
VarietyTrial,CFX-2,C,4,7
VarietyTrial,Yuma-2,D,4,7
VarietyTrial,Si-1,A,5,7
VarietyTrial,Canda,B,5,7
VarietyTrial,Tygra,C,5,7
VarietyTrial,CarmagnolaSelezionata,A,1,8
VarietyTrial,HanNE,B,1,8
VarietyTrial,Bama,C,1,8
VarietyTrial,Yuma-2,D,1,8
VarietyTrial,Si-1,A,2,8
VarietyTrial,Yuma,B,2,8
VarietyTrial,HanFN-H,C,2,8
VarietyTrial,Canda,D,2,8
VarietyTrial,CRS-1,A,3,8
VarietyTrial,HanNW,B,3,8
VarietyTrial,CherryBlossomxTI,C,3,8
VarietyTrial,Tygra,D,3,8
VarietyTrial,Carmagnola,A,4,8
VarietyTrial,Helena,B,4,8
VarietyTrial,BerryBlossom,C,4,8
VarietyTrial,CFX-2,D,4,8
VarietyTrial,CFX-1,A,5,8
VarietyTrial,Joey,B,5,8
VarietyTrial,HanFNQ,C,5,8
VarietyTrial,Puma-3,A,1,9
VarietyTrial,Puma-4,B,1,9
VarietyTrial,Fibranova,C,1,9
VarietyTrial,Eletta,D,1,9
VarietyTrial,Fibranova,A,2,9
VarietyTrial,Puma-4,B,2,9
VarietyTrial,Eletta,C,2,9
VarietyTrial,Puma-3,D,2,9
VarietyTrial,Fibranova,A,3,9
VarietyTrial,Eletta,B,3,9
VarietyTrial,Puma-3,C,3,9
VarietyTrial,Puma-4,D,3,9
VarietyTrial,Eletta,A,4,9
VarietyTrial,Puma-3,B,4,9
VarietyTrial,Puma-4,C,4,9
VarietyTrial,Fibranova,D,4,9
PilotPlot2,Yuma-2,A,1,10
PilotPlot2,Puma-3,B,1,10
PilotPlot2,Bama,C,1,10
PilotPlot2,BerryBlossom,D,1,10
PilotPlot2,CherryBlossomxTI,A,2,10
PilotPlot2,Eletta,B,2,10
PilotPlot2,Tygra,C,2,10
PilotPlot2,CarmagnolaSelezionata,D,2,10
PilotPlot2,Yuma-2,A,3,11
PilotPlot2,Eletta,B,3,11
PilotPlot2,CarmagnolaSelezionata,C,3,11
PilotPlot2,CherryBlossomxTI,D,3,11
PilotPlot2,Tygra,A,4,11
PilotPlot2,Bama,B,4,11
PilotPlot2,Puma-3,C,4,11
PilotPlot2,BerryBlossom,D,4,11
PilotPlot2,Eletta,A,1,12
PilotPlot2,Puma-3,B,1,12
PilotPlot2,Yuma-2,C,1,12
PilotPlot2,CarmagnolaSelezionata,D,1,12
PilotPlot2,BerryBlossom,A,2,12
PilotPlot2,Bama,B,2,12
PilotPlot2,CherryBlossomxTI,C,2,12
PilotPlot2,Tygra,D,2,12
PilotPlot2,CherryBlossomxTI,A,3,13
PilotPlot2,Tygra,B,3,13
PilotPlot2,Yuma-2,C,3,13
PilotPlot2,Bama,D,3,13
PilotPlot2,CarmagnolaSelezionata,A,4,13
PilotPlot2,Eletta,B,4,13
PilotPlot2,BerryBlossom,C,4,13
PilotPlot2,Puma-3,D,4,13
PilotPlotPlus8,Yuma-2,A,1,14
PilotPlotPlus8,Puma-3,B,1,14
PilotPlotPlus8,Bama,C,1,14
PilotPlotPlus8,BerryBlossom,D,1,14
PilotPlotPlus8,CherryBlossomxTI,A,2,14
PilotPlotPlus8,Eletta,B,2,14
PilotPlotPlus8,Tygra,C,2,14
PilotPlotPlus8,CarmagnolaSelezionata,D,2,14
PilotPlotPlus8,Yuma-2,A,3,15
PilotPlotPlus8,Eletta,B,3,15
PilotPlotPlus8,CarmagnolaSelezionata,C,3,15
PilotPlotPlus8,CherryBlossomxTI,D,3,15
PilotPlotPlus8,Tygra,A,4,15
PilotPlotPlus8,Bama,B,4,15
PilotPlotPlus8,Puma-3,C,4,15
PilotPlotPlus8,BerryBlossom,D,4,15
PilotPlotPlus8,Eletta,A,1,16
PilotPlotPlus8,Puma-3,B,1,16
PilotPlotPlus8,Yuma-2,C,1,16
PilotPlotPlus8,CarmagnolaSelezionata,D,1,16
PilotPlotPlus8,BerryBlossom,A,2,16
PilotPlotPlus8,Bama,B,2,16
PilotPlotPlus8,CherryBlossomxTI,C,2,16
PilotPlotPlus8,Tygra,D,2,16
PilotPlotPlus8,CherryBlossomxTI,A,3,17
PilotPlotPlus8,Tygra,B,3,17
PilotPlotPlus8,Yuma-2,C,3,17
PilotPlotPlus8,Bama,D,3,17
PilotPlotPlus8,CarmagnolaSelezionata,A,4,17
PilotPlotPlus8,Eletta,B,4,17
PilotPlotPlus8,BerryBlossom,C,4,17
PilotPlotPlus8,Puma-3,D,4,17
PilotPlotPlus8,Carmagnola,A,1,18
PilotPlotPlus8,HanFNQ,B,1,18
PilotPlotPlus8,Yuma,C,1,18
PilotPlotPlus8,HanNE,D,1,18
PilotPlotPlus8,Si-1,A,2,18
PilotPlotPlus8,CherryWine,B,2,18
PilotPlotPlus8,CherryBlossom,C,2,18
PilotPlotPlus8,Phylos,D,2,18
PilotPlotPlus8,HanFNQ,A,3,19
PilotPlotPlus8,Phylos,B,3,19
PilotPlotPlus8,HanNE,C,3,19
PilotPlotPlus8,CherryWine,D,3,19
PilotPlotPlus8,CherryBlossom,A,4,19
PilotPlotPlus8,Carmagnola,B,4,19
PilotPlotPlus8,Yuma,C,4,19
PilotPlotPlus8,Si-1,D,4,19
PilotPlotPlus8,HanFNQ,A,1,20
PilotPlotPlus8,Carmagnola,B,1,20
PilotPlotPlus8,CherryBlossom,C,1,20
PilotPlotPlus8,Yuma,D,1,20
PilotPlotPlus8,Si-1,A,2,20
PilotPlotPlus8,HanNE,B,2,20
PilotPlotPlus8,CherryWine,C,2,20
PilotPlotPlus8,Phylos,D,2,20
PilotPlotPlus8,Si-1,A,3,21
PilotPlotPlus8,CherryBlossom,B,3,21
PilotPlotPlus8,Phylos,C,3,21
PilotPlotPlus8,Yuma,D,3,21
PilotPlotPlus8,Carmagnola,A,4,21
PilotPlotPlus8,HanFNQ,B,4,21
PilotPlotPlus8,HanNE,C,4,21
PilotPlotPlus8,CherryWine,D,4,21
