Date,Year,Month,Day,Block,Block_oldname,block_newname,Row,Column,Hght_cm,Total_Nmb_Seed,Total_seed_wgt,Wgt_of_10,Wgt_of_20
11/3/2020,2020,11,3,1,PP,1-4,1,C,71,25,0.31,,
11/3/2020,2020,11,3,,PP2,10-13,,,100,,,,
11/3/2020,2020,11,3,,PP2,10-13,,,73,,,,
11/3/2020,2020,11,3,,PP2,10-13,,,79,,,,
11/3/2020,2020,11,3,,PP2,10-13,,,71,,,,
11/3/2020,2020,11,13,,PP2,10-13,,,92,,,,
11/3/2020,2020,11,13,,PP2,10-13,,,69,,,,
11/3/2020,2020,11,13,,PP2,10-13,,,72,,,,
11/3/2020,2020,11,13,,PP2,10-13,,,136,,,,
11/16/2020,2020,11,16,4,PP,1-4,3,C,146,3,0.051,,
11/16/2020,2020,11,16,,PP2,10-13,,,93,,,,
11/16/2020,2020,11,16,,PP2,10-13,,,96,,,,
11/16/2020,2020,11,16,,PP2,10-13,,,85,,,,
11/16/2020,2020,11,16,,PP2,10-13,,,82,,,,
11/23/2020,2020,11,23,,PP2,10-13,,,57,,,,
11/23/2020,2020,11,23,,PP2,10-13,,,80,,,,
11/23/2020,2020,11,23,,PP2,10-13,,,81,,,,
12/1/2020,2020,12,1,,PP2,10-13,,,64,,,,
12/1/2020,2020,12,1,,PP2,10-13,,,63,,,,
12/7/2020,2020,12,7,,PP2,10-13,,,98,,,,
12/7/2020,2020,12,7,,PP2,10-13,,,63,,,,
12/7/2020,2020,12,7,,PP2,10-13,,,103,,,,
12/7/2020,2020,12,7,3,PP,1-4,2,A,136,80,2.77,,
12/14/2020,2020,12,14,3,PP,1-4,2,C,105,9,0.361,,
12/14/2020,2020,12,14,4,PP,1-4,3,C,103,35,1.467,,
12/14/2020,2020,12,14,,PP2,10-13,,,101,3,0.076,,
12/21/2020,2020,12,21,4,PP,1-4,3,B,97,0,0,,
12/21/2020,2020,12,21,,PP,1-4,,,75,0,0,,
12/21/2020,2020,12,21,,PP2,10-13,,,101,51,1.065,,
