Year,Month,Day,Block,Row,Column,Rep,Height_mm,Diameter_cm,Sex
2019,9,13,5,5,C,1,225,11.7,M
2019,9,13,5,5,C,2,178,10.1,V
2019,9,13,5,5,C,3,193,10.1,M
2019,9,13,5,5,C,4,205,12.4,V
2019,9,13,5,5,C,5,193,13.1,V
2019,9,13,5,5,C,6,189,12.1,V
2019,9,13,5,5,C,7,200,11.7,V
2019,9,13,5,5,C,8,221,11,M
2019,9,13,5,5,C,9,162,9.7,V
2019,9,13,5,5,C,10,186,9.6,M
2019,9,13,7,1,A,1,101,6.4,V
2019,9,13,7,1,A,2,84,4.7,V
2019,9,13,7,1,A,3,141,7.9,V
2019,9,13,7,1,A,4,144,10,V
2019,9,13,7,1,A,5,115,6.8,V
2019,9,13,7,1,A,6,139,9,V
2019,9,13,7,1,A,7,117,8,V
2019,9,13,7,1,A,8,182,6.6,M
2019,9,13,7,1,A,9,123,6.2,V
2019,9,13,7,1,A,10,108,5.1,V
2019,9,13,5,5,A,1,143,7.1,V
2019,9,13,5,5,A,2,200,10.3,M
2019,9,13,5,5,A,3,149,9.1,V
2019,9,13,5,5,A,4,200,10,M
2019,9,13,5,5,A,5,144,8.1,V
2019,9,13,5,5,A,6,174,7.1,M
2019,9,13,5,5,A,7,167,9.9,V
2019,9,13,5,5,A,8,165,8,M
2019,9,13,5,5,A,9,179,9,M
2019,9,13,5,5,A,10,120,6.9,V
2019,9,13,8,2,B,1,123,8.5,V
2019,9,13,8,2,B,2,83,4.9,V
2019,9,13,8,2,B,3,76,4.7,V
2019,9,13,8,2,B,4,118,7.6,V
2019,9,13,8,2,B,5,121,3.4,M
2019,9,13,8,2,B,6,109,6.6,V
2019,9,13,8,2,B,7,85,4.6,V
2019,9,13,8,2,B,8,164,6.9,M
2019,9,13,8,2,B,9,115,5.6,M
2019,9,13,8,2,B,10,77,4.3,V
2019,9,13,6,4,D,1,193,11.7,V
2019,9,13,6,4,D,2,168,8.8,V
2019,9,13,6,4,D,3,162,11.8,V
2019,9,13,6,4,D,4,169,11,F
2019,9,13,6,4,D,5,122,5.7,V
2019,9,13,6,4,D,6,166,7.5,M
2019,9,13,6,4,D,7,193,7.5,M
2019,9,13,6,4,D,8,148,7.8,V
2019,9,13,6,4,D,9,190,9.9,M
2019,9,13,6,4,D,10,162,9,F
